country,field,year,disclosed_investment,complete
Slovenia,Software,2023,20,True
Australia,Hardware,2020,10,True
Australia,Healthcare and Life Sciences,2023,8,True
Australia,Transportation,2014,0,True
Australia,Consumer goods,2015,0,True
Belgium,"Sales, retail, commerce, marketing",2019,0,True
Brazil,General purpose,2015,0,True
Canada,Energy and natural resources,2019,14,True
Canada,Privacy and Security,2024,35,False
Canada,Transportation,2014,1,True
Canada,Healthcare and Life Sciences,2019,15,True
Switzerland,Hardware,2021,33,True
Switzerland,"Mobile, platforms & Internet services",2020,12,True
Switzerland,Computer Vision,2017,12,True
Switzerland,Computer Vision,2019,10,True
Switzerland,Information Technology,2024,66,False
Switzerland,Privacy and Security,2017,8,True
China (mainland),Data and analytics,2024,2208,False
China (mainland),Media and Entertainment,2020,8,True
China (mainland),Real estate,2014,2,True
China (mainland),Real estate,2023,15,True
China (mainland),Privacy and Security,2016,11,True
Cyprus,Software,2022,3,True
Czechia,"Sales, retail, commerce, marketing",2021,3,True
Germany,Other,2014,1,True
Germany,Hardware,2020,33,True
Germany,General purpose,2016,17,True
Germany,Community and Lifestyle,2014,0,True
Spain,Transportation,2018,1,True
Spain,Hardware,2015,6,True
Spain,"Sales, retail, commerce, marketing",2021,21,True
Spain,Energy and natural resources,2021,3,True
Estonia,Data and analytics,2015,3,True
Finland,Software,2019,242,True
Finland,Software,2023,19,True
Finland,Data and analytics,2014,0,True
France,"Mobile, platforms & Internet services",2018,42,True
France,General purpose,2019,353,True
France,Robotics,2022,9,True
France,Healthcare and Life Sciences,2016,7,True
France,"Sales, retail, commerce, marketing",2018,45,True
France,Other,2023,9,True
United Kingdom,Consumer goods,2014,1,True
United Kingdom,Cyber Security,2018,14,True
United Kingdom,Lending and Investments,2023,53,True
United Kingdom,Healthcare and Life Sciences,2023,77,True
United Kingdom,Other,2017,83,True
United Kingdom,Education,2015,1,True
United Kingdom,Finance,2017,155,True
United Kingdom,Computer Vision,2016,211,True
India,Lending and Investments,2018,6,True
India,Hardware,2019,12,True
India,Hardware,2021,16,True
India,Real estate,2024,5,False
Ireland,Professional services,2021,356,True
Israel,Privacy and Security,2018,10,True
Israel,Robotics,2018,5,True
Israel,Sports,2021,6,True
Israel,Computer Vision,2016,15,True
Israel,Computer Vision,2023,42,True
Israel,Healthcare and Life Sciences,2017,64,True
Israel,Healthcare and Life Sciences,2021,327,True
Israel,"Sales, retail, commerce, marketing",2018,21,True
Israel,Data and analytics,2018,186,True
Israel,Other,2021,44,True
Italy,Information Technology,2022,11,True
Italy,Manufacturing,2017,2,True
Japan,General purpose,2023,119,True
Japan,Robotics,2017,114,True
Japan,Robotics,2020,13,True
Japan,NLP,2021,12,True
Japan,Community and Lifestyle,2018,40,True
Japan,Professional services,2015,6,True
Japan,Transportation,2015,1,True
South Korea,Software,2016,57,True
South Korea,Consumer goods,2015,1,True
South Korea,Consumer goods,2019,179,True
Latvia,Software,2017,0,True
Malaysia,Software,2020,5,True
Netherlands,Data and analytics,2018,29,True
Netherlands,Finance,2015,1,True
Norway,All,2015,1,True
New Zealand,Data and analytics,2022,7,True
Poland,"Mobile, platforms & Internet services",2014,2,True
Portugal,All,2019,93,True
Portugal,All,2024,40,False
Portugal,Information Technology,2015,4,True
Russia,Software,2019,24,True
Singapore,Professional services,2014,0,True
Singapore,Software,2020,528,True
Singapore,Healthcare and Life Sciences,2015,8,True
Singapore,Healthcare and Life Sciences,2023,33,True
Sweden,"Sales, retail, commerce, marketing",2024,6,False
Sweden,Transportation,2015,0,True
Sweden,All,2023,141,True
Turkey,All,2020,8,True
Taiwan,All,2024,33,False
United States,Community and Lifestyle,2018,435,True
United States,Computer Vision,2019,751,True
United States,Simulation,2020,6,True
United States,Sports,2024,75,False
United States,Consumer goods,2014,347,True
United States,Manufacturing,2017,385,True
United States,Biotechnology,2016,362,True
United States,Biotechnology,2018,385,True
United States,Semiconductor,2019,82,True
Turkey,"Mobile, platforms & Internet services",2019,1,True
Argentina,Data and analytics,2024,1,False
Argentina,All,2019,3,True
Austria,Energy and natural resources,2019,0,True
Brazil,Transportation,2023,18,True
India,Manufacturing,2024,25,False
Norway,Hardware,2018,3,True
Norway,Information Technology,2017,42,True
Romania,All,2019,3,True
Australia,Professional services,2020,0,True
Switzerland,Finance,2017,7,True
Switzerland,Other,2020,51,True
Czechia,General purpose,2019,5,True
Germany,Biotechnology,2021,27,True
Germany,Robotics,2024,259,False
Denmark,"Sales, retail, commerce, marketing",2020,19,True
Denmark,"Mobile, platforms & Internet services",2021,2,True
Finland,Other,2023,2,True
Indonesia,All,2024,46,False
India,Community and Lifestyle,2023,12,True
India,Healthcare and Life Sciences,2023,24,True
South Korea,Finance,2022,171,True
South Korea,Biotechnology,2022,40,True
Netherlands,Professional services,2016,3,True
Saudi Arabia,General purpose,2023,1,True
Turkey,"Sales, retail, commerce, marketing",2024,1,False
Netherlands,Community and Lifestyle,2023,0,True
Thailand,Software,2016,0,True
Singapore,Real estate,2018,0,True
Singapore,Energy and natural resources,2020,0,True
Singapore,Energy and natural resources,2022,127,True
Czechia,Telecommunications,2016,0,True
Chile,"Sales, retail, commerce, marketing",2020,1,True
Chile,"Sales, retail, commerce, marketing",2021,2,True
Indonesia,Information Technology,2016,2,True
Vietnam,Data and analytics,2021,7,True
Kenya,General purpose,2023,0,True
Kenya,"Mobile, platforms & Internet services",2021,0,True
Switzerland,Telecommunications,2019,1,True
Poland,Computer Vision,2021,3,True
Poland,Real estate,2021,1,True
Dominican Republic,Data and analytics,2022,0,True
Malta,Lending and Investments,2020,10,True
Estonia,Healthcare and Life Sciences,2022,1,True
Austria,Simulation,2021,5,True
Saint Kitts and Nevis,Software,2021,1,True
Luxembourg,Sports,2021,0,True
Azerbaijan,Education,2022,0,True
Zimbabwe,Finance,2024,1,False
Côte d'Ivoire,Information Technology,2024,0,False
Argentina,Agriculture,2023,0,True
Argentina,Finance,2022,0,True
Australia,"Military, public safety and government",2014,0,True
Austria,Consumer goods,2020,1,True
Austria,Consumer goods,2024,6,False
Austria,"Sales, retail, commerce, marketing",2022,0,True
Austria,Transportation,2024,15,False
Belgium,Other,2015,8,True
Bangladesh,Transportation,2020,0,True
