country,field,year,num_citations
Uruguay,Large language models,2023,17
Jordan,Large language models,2021,21
Iceland,Large language models,2018,13
Brunei Darussalam,Natural Language Processing,2020,47
Fiji,Computer Vision,2015,7
Fiji,Computer Vision,2020,63
Azerbaijan,Natural Language Processing,2017,184
Iceland,Natural Language Processing,2019,96
North Korea,All,2014,41
Armenia,All,2015,39
Armenia,All,2019,1493
Bosnia and Herzegovina,All,2015,1171
Jordan,All,2018,13793
Czechia,All,2017,26789
United Kingdom,All,2018,541257
Ghana,All,2014,475
Costa Rica,All,2015,108
Philippines,All,2020,5088
Tajikistan,All,2019,244
Zimbabwe,All,2020,166
Argentina,All,2020,5267
Libya,All,2014,132
United Arab Emirates,All,2014,4285
Sudan,All,2024,86
Mozambique,All,2016,23
Luxembourg,All,2016,3820
Oman,All,2014,424
Belarus,All,2023,116
Uruguay,All,2017,1160
Australia,All,2018,232687
Peru,All,2014,472
Peru,All,2018,1628
Chile,All,2014,5042
Vietnam,All,2015,6729
Vietnam,All,2016,12037
Iraq,All,2024,2121
Quad,All,2014,1740053
Germany,All,2021,287424
Cambodia,All,2018,811
Pakistan,Robotics,2021,2261
Argentina,Robotics,2015,820
Russia,Robotics,2015,2916
Thailand,Robotics,2022,776
Tunisia,Robotics,2014,573
China (mainland),Robotics,2020,149041
Denmark,Robotics,2019,4724
Egypt,Robotics,2014,798
North Macedonia,Robotics,2022,28
South Africa,Robotics,2023,271
Africa,Robotics,2017,6332
Iran,Robotics,2018,5285
Iceland,Robotics,2024,4
Cuba,Robotics,2021,6
Hungary,Robotics,2014,955
Hungary,Robotics,2016,1364
Germany,Robotics,2022,23129
ASEAN,Robotics,2021,15814
Poland,AI Safety,2022,214
New Zealand,AI Safety,2018,179
Portugal,AI Safety,2016,161
Portugal,AI Safety,2017,188
Egypt,AI Safety,2024,21
Switzerland,AI Safety,2014,2736
Switzerland,AI Safety,2022,2591
Africa,AI Safety,2022,443
Oceania,AI Safety,2017,9162
Oceania,AI Safety,2018,17053
Singapore,AI Safety,2022,3301
Belgium,AI Safety,2021,1367
Canada,AI Safety,2019,13311
France,AI Safety,2016,11950
Germany,AI Safety,2023,4782
Iran,AI Safety,2016,46
Israel,AI Safety,2015,516
France,Computer Vision,2014,78295
United States,Computer Vision,2021,483358
Tunisia,Computer Vision,2014,2322
